epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
62,10917.6,0.4294,0.27508,0.81007,0.40118,0.25911,0.33538,0.15105,2.22616,2.32163,1.51004,0.003961,0.003961,0.003961
63,11091.9,0.43075,0.27618,0.80884,0.40077,0.25847,0.33516,0.15103,2.22568,2.32777,1.51053,0.003862,0.003862,0.003862
64,11265.5,0.4261,0.27307,0.80828,0.40051,0.25669,0.33385,0.15057,2.22628,2.33313,1.51156,0.003763,0.003763,0.003763
65,11460.3,0.42139,0.26976,0.80929,0.4022,0.25516,0.3342,0.15037,2.22693,2.33787,1.51337,0.003664,0.003664,0.003664
66,11645.2,0.41977,0.27083,0.80898,0.40529,0.25507,0.33473,0.15141,2.22462,2.34201,1.51545,0.003565,0.003565,0.003565
67,11829.6,0.4132,0.26503,0.80549,0.40525,0.25531,0.33401,0.15101,2.22529,2.35127,1.51493,0.003466,0.003466,0.003466
68,12017,0.41219,0.26596,0.80741,0.40465,0.25342,0.33334,0.15109,2.2264,2.35276,1.51502,0.003367,0.003367,0.003367
69,12190.3,0.4057,0.2614,0.80731,0.40238,0.25258,0.33257,0.15073,2.23001,2.35392,1.51546,0.003268,0.003268,0.003268
70,12365.1,0.4031,0.25891,0.80423,0.4028,0.25236,0.33164,0.15049,2.2306,2.35628,1.51578,0.003169,0.003169,0.003169
71,12539.2,0.40101,0.2586,0.80505,0.40401,0.25193,0.33281,0.15108,2.22916,2.3612,1.51272,0.00307,0.00307,0.00307
72,12713.2,0.39395,0.25621,0.80375,0.40374,0.25123,0.33246,0.15132,2.23091,2.3664,1.51479,0.002971,0.002971,0.002971
73,12887.4,0.39443,0.25603,0.80383,0.40462,0.25105,0.33332,0.15174,2.23301,2.37568,1.51479,0.002872,0.002872,0.002872
74,13060.1,0.38742,0.25199,0.80239,0.40477,0.25026,0.33292,0.15166,2.23436,2.38048,1.5148,0.002773,0.002773,0.002773
75,13234.3,0.38897,0.25177,0.80315,0.40373,0.24968,0.3323,0.1517,2.2337,2.38699,1.51368,0.002674,0.002674,0.002674
76,13413.1,0.38441,0.24917,0.80266,0.4063,0.24921,0.33367,0.15199,2.23302,2.38616,1.51381,0.002575,0.002575,0.002575
77,13584.5,0.37962,0.24638,0.80246,0.40636,0.24739,0.33298,0.15168,2.23397,2.39545,1.51248,0.002476,0.002476,0.002476
78,13757.1,0.37549,0.24431,0.80139,0.40725,0.24687,0.33243,0.15125,2.23489,2.40638,1.51324,0.002377,0.002377,0.002377
79,13929.3,0.36946,0.24218,0.80009,0.409,0.24649,0.33138,0.15145,2.2338,2.41486,1.51368,0.002278,0.002278,0.002278
80,14102.2,0.36757,0.24009,0.80033,0.40948,0.24612,0.33081,0.15083,2.23552,2.41754,1.51442,0.002179,0.002179,0.002179
81,14275.7,0.36553,0.23866,0.79924,0.4094,0.24459,0.32991,0.15051,2.23532,2.42381,1.51552,0.00208,0.00208,0.00208
82,14449.2,0.36041,0.23564,0.79941,0.40872,0.2438,0.32851,0.15025,2.23788,2.43475,1.51657,0.001981,0.001981,0.001981
83,14622.2,0.35918,0.23622,0.79775,0.40807,0.2433,0.32858,0.15024,2.24041,2.44371,1.51756,0.001882,0.001882,0.001882
84,14795.3,0.35493,0.2327,0.79794,0.40816,0.24274,0.32807,0.14964,2.24326,2.45349,1.52008,0.001783,0.001783,0.001783
85,14969.7,0.34999,0.22963,0.79812,0.40863,0.24232,0.32811,0.14964,2.24626,2.4566,1.52159,0.001684,0.001684,0.001684
86,15143,0.34439,0.22725,0.79775,0.41029,0.24235,0.32857,0.14961,2.2481,2.46061,1.52194,0.001585,0.001585,0.001585
87,15283.8,0.34279,0.22654,0.79533,0.41203,0.2408,0.32875,0.14911,2.25132,2.47956,1.52436,0.001486,0.001486,0.001486
88,15422.7,0.33911,0.2247,0.79741,0.41315,0.23974,0.32945,0.14943,2.25594,2.49175,1.52689,0.001387,0.001387,0.001387
89,15559.8,0.33376,0.22029,0.79424,0.41317,0.23922,0.32902,0.14912,2.25887,2.49755,1.52814,0.001288,0.001288,0.001288
90,15696,0.33141,0.21955,0.79406,0.41318,0.23841,0.32968,0.1492,2.26204,2.50693,1.52948,0.001189,0.001189,0.001189
91,15843.9,0.30868,0.20409,0.77379,0.41355,0.23816,0.33077,0.14912,2.26517,2.5123,1.53139,0.00109,0.00109,0.00109
92,15970.5,0.29302,0.1962,0.77271,0.41464,0.23871,0.33057,0.14934,2.26552,2.51813,1.53235,0.000991,0.000991,0.000991
93,16097.1,0.28575,0.19144,0.7722,0.41209,0.24093,0.33054,0.14961,2.26783,2.53067,1.53303,0.000892,0.000892,0.000892
94,16224.1,0.27826,0.18758,0.77195,0.4114,0.24287,0.33105,0.14945,2.26764,2.5452,1.5338,0.000793,0.000793,0.000793
95,16350.9,0.27417,0.18511,0.77121,0.41263,0.24335,0.33157,0.1497,2.27106,2.56052,1.53655,0.000694,0.000694,0.000694
96,16477.2,0.26836,0.18161,0.7685,0.38194,0.26278,0.33173,0.14998,2.27073,2.57493,1.53639,0.000595,0.000595,0.000595
97,16603.4,0.26425,0.17952,0.77166,0.31859,0.28531,0.33168,0.15003,2.27047,2.59522,1.53471,0.000496,0.000496,0.000496
98,16729.6,0.25732,0.17611,0.76987,0.3196,0.28368,0.33067,0.15008,2.2727,2.60591,1.53611,0.000397,0.000397,0.000397
99,16856.7,0.25389,0.17388,0.76953,0.31954,0.28196,0.32909,0.14979,2.27508,2.61404,1.53765,0.000298,0.000298,0.000298
100,16982.9,0.24767,0.17029,0.7692,0.32071,0.28101,0.32909,0.14977,2.27869,2.62344,1.54075,0.000199,0.000199,0.000199
